iter	Passed	Remaining
0	8	8860
1	17	8631
2	25	8541
3	34	8610
4	42	8480
5	50	8422
6	59	8375
7	67	8367
8	75	8312
9	83	8231
10	91	8197
11	99	8160
12	107	8134
13	115	8111
14	122	8068
15	131	8059
16	139	8049
17	146	8017
18	154	7999
19	162	7965
20	170	7947
21	178	7918
22	186	7904
23	193	7885
24	201	7867
25	209	7848
26	217	7844
27	225	7821
28	233	7812
29	241	7796
30	249	7786
31	257	7785
32	266	7805
33	274	7803
34	283	7822
35	292	7827
36	300	7822
37	308	7810
38	316	7810
39	325	7821
40	334	7821
41	342	7814
42	350	7803
43	358	7785
44	366	7775
45	374	7767
46	382	7755
47	390	7744
48	398	7731
49	405	7711
50	414	7704
51	422	7699
52	430	7692
53	438	7680
54	446	7664
55	453	7645
56	461	7636
57	469	7623
58	477	7611
59	484	7597
60	492	7587
61	501	7579
62	510	7586
63	518	7580
64	526	7570
65	534	7557
66	541	7543
67	549	7531
68	556	7515
69	565	7510
70	572	7495
71	581	7489
72	588	7476
73	596	7468
74	604	7457
75	613	7455
76	621	7454
77	629	7446
78	637	7435
79	645	7425
80	653	7414
81	661	7406
82	669	7395
83	677	7386
84	685	7379
85	693	7372
86	701	7363
87	710	7359
88	717	7346
89	725	7339
90	733	7331
91	742	7325
92	750	7318
93	758	7308
94	766	7300
95	774	7291
96	782	7283
97	790	7275
98	798	7264
99	806	7262
100	814	7253
101	823	7247
102	831	7237
103	839	7236
104	848	7228
105	856	7219
106	864	7211
107	872	7206
108	880	7196
109	888	7189
110	896	7180
111	904	7171
112	912	7163
113	920	7154
114	928	7146
115	936	7135
116	944	7129
117	952	7117
118	960	7108
119	967	7097
120	975	7089
121	984	7082
122	992	7077
123	1000	7068
124	1008	7058
125	1015	7047
126	1023	7036
127	1031	7025
128	1039	7016
129	1047	7007
130	1055	7000
131	1063	6993
132	1071	6983
133	1079	6975
134	1087	6966
135	1095	6958
136	1102	6948
137	1110	6936
138	1118	6928
139	1126	6919
140	1134	6910
141	1142	6901
142	1150	6893
143	1158	6888
144	1166	6880
145	1175	6873
146	1182	6863
147	1190	6853
148	1198	6846
149	1206	6837
150	1214	6829
151	1222	6822
152	1230	6811
153	1238	6803
154	1246	6793
155	1254	6786
156	1262	6780
157	1271	6773
158	1278	6762
159	1286	6756
160	1295	6750
161	1305	6751
162	1314	6748
163	1323	6745
164	1331	6740
165	1341	6740
166	1351	6740
167	1360	6736
168	1369	6736
169	1378	6731
170	1388	6730
171	1397	6726
172	1406	6722
173	1415	6720
174	1424	6716
175	1434	6715
176	1443	6710
177	1452	6709
178	1462	6706
179	1471	6703
180	1480	6700
181	1489	6696
182	1499	6693
183	1507	6685
184	1517	6686
185	1526	6680
186	1535	6677
187	1544	6672
188	1553	6667
189	1561	6658
190	1570	6651
191	1578	6642
192	1586	6633
193	1593	6622
194	1601	6612
195	1609	6600
196	1617	6593
197	1625	6585
198	1633	6575
199	1641	6565
200	1649	6556
201	1657	6546
202	1664	6536
203	1673	6528
204	1680	6518
205	1688	6509
206	1697	6501
207	1704	6490
208	1712	6481
209	1720	6470
210	1728	6462
211	1736	6456
212	1746	6453
213	1755	6447
214	1765	6445
215	1774	6439
216	1783	6435
217	1792	6431
218	1802	6427
219	1812	6426
220	1821	6419
221	1830	6416
222	1840	6411
223	1849	6408
224	1858	6402
225	1868	6399
226	1878	6395
227	1886	6388
228	1896	6386
229	1905	6378
230	1915	6375
