iter	Passed	Remaining
231	1924	6370
232	1933	6364
233	1942	6357
234	1951	6351
235	1959	6343
236	1967	6334
237	1975	6325
238	1983	6314
239	1991	6305
240	1999	6296
241	2006	6285
242	2014	6276
243	2022	6266
244	2030	6256
245	2037	6245
246	2045	6236
247	2053	6226
248	2061	6217
249	2069	6207
250	2077	6198
251	2084	6187
252	2092	6179
253	2100	6169
254	2108	6159
255	2116	6149
256	2124	6141
257	2132	6132
258	2140	6123
259	2148	6114
260	2156	6105
261	2164	6095
262	2171	6085
263	2179	6076
264	2187	6066
265	2195	6057
266	2202	6047
267	2211	6040
268	2219	6030
269	2227	6022
270	2235	6014
271	2244	6006
272	2251	5997
273	2260	5988
274	2267	5978
275	2275	5970
276	2284	5962
277	2292	5953
278	2300	5945
279	2308	5936
280	2316	5926
281	2324	5917
282	2332	5908
283	2340	5899
284	2347	5889
285	2355	5879
286	2363	5870
287	2370	5861
288	2378	5852
289	2386	5843
290	2394	5834
291	2402	5825
292	2410	5817
293	2418	5807
294	2426	5798
295	2434	5789
296	2441	5780
297	2449	5770
298	2457	5761
299	2465	5752
300	2473	5743
301	2480	5734
302	2488	5724
303	2496	5715
304	2504	5707
305	2512	5698
306	2520	5688
307	2528	5680
308	2536	5671
309	2543	5662
310	2551	5653
311	2559	5643
312	2567	5635
313	2575	5625
314	2582	5616
315	2590	5607
316	2598	5599
317	2606	5590
318	2615	5582
319	2623	5575
320	2631	5565
321	2639	5556
322	2647	5548
323	2655	5539
324	2663	5531
325	2671	5522
326	2679	5513
327	2687	5506
328	2695	5497
329	2703	5488
330	2710	5478
331	2718	5469
332	2726	5460
333	2733	5451
334	2741	5441
335	2749	5433
336	2757	5425
337	2765	5416
338	2773	5408
339	2782	5400
340	2790	5391
341	2798	5383
342	2806	5374
343	2814	5366
344	2822	5358
345	2829	5349
346	2837	5340
347	2845	5331
348	2853	5323
349	2861	5315
350	2870	5306
351	2878	5298
352	2886	5289
353	2894	5281
354	2902	5273
355	2910	5264
356	2918	5255
357	2925	5247
358	2933	5237
359	2941	5228
360	2949	5220
361	2956	5210
362	2964	5201
363	2972	5193
364	2980	5185
365	2988	5176
366	2996	5168
367	3003	5158
368	3011	5150
369	3020	5142
370	3028	5133
371	3035	5124
372	3043	5116
373	3051	5107
374	3059	5098
375	3067	5090
376	3075	5081
377	3083	5073
378	3091	5064
379	3098	5055
380	3106	5047
381	3114	5038
382	3122	5030
383	3130	5021
384	3138	5012
385	3145	5003
386	3153	4995
387	3161	4987
388	3169	4978
389	3177	4969
390	3184	4960
391	3192	4951
392	3199	4942
393	3207	4933
394	3215	4925
395	3223	4916
396	3231	4908
397	3239	4899
398	3248	4892
399	3255	4883
400	3263	4874
401	3271	4865
402	3279	4857
403	3287	4849
404	3294	4840
405	3302	4831
406	3309	4822
407	3317	4813
408	3325	4805
409	3333	4797
410	3341	4788
411	3348	4779
412	3356	4770
413	3364	4761
414	3372	4753
415	3379	4744
416	3387	4735
417	3395	4727
418	3402	4718
419	3410	4709
420	3418	4701
421	3426	4693
422	3434	4684
423	3442	4676
424	3450	4668
425	3458	4659
426	3465	4650
427	3473	4642
428	3481	4633
429	3488	4624
430	3496	4615
431	3504	4607
432	3512	4599
433	3520	4590
434	3527	4581
435	3535	4573
436	3544	4565
437	3553	4559
438	3562	4552
439	3571	4544
440	3579	4537
441	3588	4530
442	3597	4523
443	3606	4515
444	3614	4507
445	3623	4501
446	3633	4494
447	3641	4487
448	3650	4479
449	3658	4472
450	3667	4464
451	3676	4457
452	3684	4449
453	3692	4441
454	3701	4433
455	3709	4425
456	3718	4418
457	3727	4410
458	3735	4403
459	3744	4395
460	3753	4388
461	3761	4380
462	3770	4373
463	3779	4365
464	3787	4358
465	3796	4350
466	3805	4342
467	3814	4335
468	3822	4328
469	3831	4320
470	3840	4313
471	3849	4305
472	3857	4297
473	3866	4290
474	3874	4282
475	3883	4275
476	3891	4266
477	3900	4259
478	3909	4251
479	3918	4244
480	3926	4236
481	3935	4229
482	3944	4221
483	3953	4214
484	3961	4206
485	3970	4199
486	3979	4191
487	3988	4184
488	3996	4176
489	4005	4168
490	4013	4160
491	4022	4152
492	4030	4145
493	4039	4137
494	4048	4129
495	4056	4122
496	4065	4114
497	4073	4106
498	4082	4098
499	4091	4091
500	4100	4083
501	4108	4076
502	4117	4068
503	4126	4060
504	4134	4052
505	4143	4044
506	4152	4037
507	4160	4029
508	4169	4022
509	4177	4014
510	4186	4006
511	4195	3998
512	4203	3990
513	4212	3982
514	4220	3974
515	4228	3966
516	4237	3959
517	4247	3951
518	4255	3943
519	4263	3935
520	4272	3928
521	4281	3920
522	4290	3912
523	4299	3905
524	4307	3897
525	4315	3888
526	4322	3880
527	4331	3871
528	4339	3863
529	4348	3855
530	4356	3847
531	4363	3838
532	4371	3830
533	4379	3821
534	4387	3813
535	4394	3804
536	4402	3795
537	4409	3786
538	4417	3778
539	4425	3769
540	4433	3761
541	4440	3752
542	4448	3744
543	4456	3735
544	4464	3726
545	4471	3718
546	4479	3709
547	4487	3701
548	4495	3693
549	4503	3684
550	4510	3675
551	4518	3667
552	4526	3658
553	4534	3650
554	4541	3641
555	4549	3632
556	4557	3624
557	4565	3616
558	4572	3607
559	4581	3599
560	4589	3591
561	4598	3583
562	4606	3575
563	4616	3568
564	4625	3561
565	4634	3554
566	4644	3546
567	4653	3539
568	4662	3531
569	4672	3524
570	4682	3518
571	4692	3511
572	4702	3504
573	4711	3496
574	4721	3489
575	4731	3482
576	4741	3476
577	4752	3469
578	4761	3462
579	4770	3454
580	4778	3446
581	4786	3437
582	4794	3429
583	4801	3420
584	4809	3411
585	4817	3403
586	4825	3395
587	4834	3387
588	4842	3379
589	4850	3370
590	4859	3363
591	4868	3355
592	4876	3346
593	4883	3337
594	4891	3329
595	4899	3320
596	4906	3311
597	4913	3303
598	4921	3294
599	4929	3286
600	4936	3277
601	4944	3269
602	4952	3260
603	4960	3252
604	4968	3243
605	4975	3235
606	4984	3227
607	4992	3219
608	5000	3210
609	5008	3202
610	5016	3193
611	5024	3185
612	5031	3176
613	5039	3168
614	5047	3160
615	5055	3151
616	5063	3143
617	5071	3134
618	5079	3126
619	5086	3117
620	5094	3109
621	5102	3100
622	5110	3092
623	5117	3083
624	5125	3075
625	5133	3067
626	5141	3058
627	5149	3050
628	5157	3041
629	5164	3033
630	5172	3024
631	5179	3016
632	5187	3007
633	5195	2999
634	5202	2990
635	5210	2982
636	5219	2974
637	5227	2966
638	5235	2957
639	5242	2949
640	5251	2941
641	5259	2932
642	5266	2924
643	5274	2915
644	5282	2907
645	5290	2898
646	5297	2890
647	5305	2882
648	5313	2873
649	5321	2865
650	5329	2857
651	5337	2848
652	5345	2840
653	5352	2831
654	5360	2823
655	5367	2814
656	5375	2806
657	5383	2798
658	5391	2789
659	5399	2781
660	5406	2772
661	5414	2764
662	5421	2755
663	5429	2747
664	5437	2738
665	5444	2730
666	5452	2722
667	5460	2713
668	5468	2705
669	5476	2697
670	5484	2688
671	5491	2680
672	5499	2671
673	5506	2663
674	5514	2654
675	5522	2646
676	5529	2638
677	5537	2629
678	5545	2621
679	5552	2613
680	5560	2604
681	5569	2596
682	5577	2588
683	5584	2580
684	5592	2571
685	5599	2563
686	5607	2554
687	5615	2546
688	5623	2538
689	5631	2529
690	5639	2521
691	5648	2514
692	5657	2506
693	5666	2498
694	5675	2490
695	5683	2482
696	5690	2473
697	5698	2465
698	5705	2456
699	5713	2448
700	5721	2440
701	5729	2432
702	5737	2423
703	5746	2416
704	5754	2407
705	5762	2399
706	5770	2391
707	5779	2383
708	5787	2375
709	5795	2367
710	5803	2358
711	5810	2350
712	5818	2342
713	5826	2333
714	5834	2325
715	5841	2317
716	5849	2308
717	5857	2300
718	5865	2292
719	5873	2284
720	5881	2275
721	5888	2267
722	5896	2259
723	5903	2250
724	5911	2242
725	5919	2234
726	5927	2225
727	5935	2217
728	5943	2209
729	5950	2200
730	5958	2192
731	5965	2184
732	5973	2175
733	5980	2167
734	5988	2159
735	5995	2150
736	6003	2142
737	6011	2134
738	6018	2125
739	6026	2117
740	6034	2109
741	6042	2100
742	6049	2092
743	6057	2084
744	6064	2075
745	6072	2067
746	6080	2059
747	6088	2051
748	6096	2042
749	6103	2034
750	6111	2026
751	6119	2018
752	6127	2009
753	6134	2001
754	6142	1993
755	6150	1985
756	6158	1976
757	6168	1969
758	6176	1961
759	6184	1952
760	6192	1944
761	6200	1936
762	6208	1928
763	6216	1920
764	6223	1911
765	6231	1903
766	6238	1895
767	6246	1887
768	6254	1878
769	6262	1870
770	6269	1862
771	6278	1854
772	6285	1845
773	6293	1837
774	6301	1829
775	6309	1821
776	6317	1813
777	6325	1804
778	6332	1796
779	6340	1788
780	6347	1780
781	6355	1771
782	6363	1763
783	6370	1755
784	6378	1747
785	6386	1738
786	6393	1730
787	6401	1722
788	6409	1714
789	6417	1705
790	6425	1697
791	6432	1689
792	6439	1681
793	6447	1672
794	6455	1664
795	6463	1656
796	6470	1648
797	6478	1639
798	6485	1631
799	6494	1623
800	6502	1615
801	6509	1607
802	6517	1599
803	6525	1590
804	6533	1582
805	6541	1574
806	6549	1566
807	6556	1558
808	6564	1549
809	6572	1541
810	6580	1533
811	6588	1525
812	6595	1517
813	6603	1508
814	6611	1500
815	6618	1492
816	6626	1484
817	6634	1476
818	6642	1468
819	6651	1460
820	6660	1452
821	6668	1443
822	6675	1435
823	6683	1427
824	6691	1419
825	6698	1411
826	6706	1402
827	6714	1394
828	6722	1386
829	6730	1378
830	6739	1370
831	6747	1362
832	6755	1354
833	6763	1346
834	6771	1338
835	6778	1329
836	6786	1321
837	6794	1313
838	6802	1305
839	6810	1297
840	6819	1289
841	6831	1281
842	6840	1274
843	6851	1266
844	6859	1258
845	6869	1250
846	6878	1242
847	6886	1234
848	6896	1226
849	6905	1218
850	6914	1210
851	6924	1202
852	6932	1194
853	6941	1186
854	6950	1178
855	6959	1170
856	6968	1162
857	6977	1154
858	6986	1146
859	6995	1138
860	7004	1130
861	7013	1122
862	7021	1114
863	7030	1106
864	7039	1098
865	7048	1090
866	7055	1082
867	7064	1074
868	7072	1066
869	7079	1057
870	7087	1049
871	7095	1041
872	7103	1033
873	7111	1025
874	7118	1016
875	7126	1008
876	7134	1000
877	7142	992
878	7149	984
879	7157	976
880	7165	967
881	7173	959
882	7181	951
883	7188	943
884	7196	935
885	7204	926
886	7212	918
887	7220	910
888	7228	902
889	7235	894
890	7243	886
891	7251	877
892	7259	869
893	7266	861
894	7274	853
895	7282	845
896	7290	837
897	7298	828
898	7305	820
899	7314	812
900	7321	804
901	7330	796
902	7337	788
903	7345	780
904	7353	771
905	7361	763
906	7369	755
907	7376	747
908	7384	739
909	7391	731
910	7400	722
911	7408	714
912	7415	706
913	7423	698
914	7430	690
915	7438	682
916	7446	673
917	7454	665
918	7461	657
919	7469	649
920	7477	641
921	7484	633
922	7492	625
923	7500	616
924	7508	608
925	7516	600
926	7524	592
927	7531	584
928	7539	576
929	7546	568
930	7554	559
931	7562	551
932	7570	543
933	7577	535
934	7585	527
935	7593	519
936	7601	511
937	7608	502
938	7616	494
939	7624	486
940	7631	478
941	7639	470
942	7647	462
943	7655	454
944	7664	446
945	7672	437
946	7680	429
947	7688	421
948	7696	413
949	7704	405
950	7712	397
951	7720	389
952	7728	381
953	7736	373
954	7744	364
955	7753	356
956	7760	348
957	7768	340
958	7776	332
959	7784	324
960	7792	316
961	7799	308
962	7808	299
963	7815	291
964	7823	283
965	7831	275
966	7839	267
967	7846	259
968	7854	251
969	7862	243
970	7869	235
971	7876	226
972	7884	218
973	7891	210
974	7899	202
975	7907	194
976	7915	186
977	7923	178
978	7930	170
979	7938	162
980	7946	153
981	7954	145
982	7961	137
983	7969	129
984	7977	121
985	7984	113
986	7992	105
987	8000	97
988	8007	89
989	8015	80
990	8022	72
991	8030	64
992	8038	56
993	8046	48
994	8054	40
995	8062	32
996	8070	24
997	8077	16
998	8085	8
999	8093	0
