iter	Logloss
0	0.6855273363
1	0.6787673845
2	0.6718764369
3	0.6612791658
4	0.6507956735
5	0.6452414387
6	0.636463756
7	0.6317809045
8	0.6273059042
9	0.6233527597
10	0.6191531216
11	0.6150172871
12	0.6102324274
13	0.6034688205
14	0.5982218832
15	0.5949393744
16	0.58900252
17	0.5833925483
18	0.578670502
19	0.5760041852
20	0.5730316524
21	0.5705837433
22	0.5673263097
23	0.5638368721
24	0.5615687941
25	0.5596848641
26	0.5579132543
27	0.5546348898
28	0.5531149725
29	0.5516220458
30	0.5497306758
31	0.5481034145
32	0.5463713087
33	0.5450349784
34	0.5429782043
35	0.5412937961
36	0.5397157154
37	0.5384181262
38	0.5373258413
39	0.5358641753
40	0.534664602
41	0.5333261014
42	0.5315773979
43	0.5295460266
44	0.5287222059
45	0.5269237574
46	0.5241731754
47	0.523378068
48	0.5224636431
49	0.5200228343
50	0.5188608543
51	0.5177047391
52	0.516240929
53	0.515442358
54	0.514330088
55	0.5131137511
56	0.5123136261
57	0.5116348888
58	0.5092309603
59	0.5080969493
60	0.5056058628
61	0.5039126429
62	0.5027126133
63	0.5004302504
64	0.4996960732
65	0.4974384289
66	0.4957254987
67	0.495065425
68	0.4935190859
69	0.492716616
70	0.4921007
71	0.4903868094
72	0.4890364302
73	0.4877482004
74	0.4871537101
75	0.4865114214
76	0.4859238226
77	0.4854638466
78	0.4847313041
79	0.4842980115
80	0.4837848568
81	0.482551492
82	0.4820512641
83	0.4808892736
84	0.4794867788
85	0.4782809992
86	0.4772281149
87	0.4764898712
88	0.4759993367
89	0.4755676226
90	0.4749373016
91	0.4744240749
92	0.4738214468
93	0.4733812538
94	0.4727448263
95	0.4723463289
96	0.4719553102
97	0.4715013524
98	0.4704383681
99	0.4699169825
100	0.4682045809
101	0.4679042036
102	0.4674592239
103	0.4662948299
104	0.4651031254
105	0.4639770945
106	0.4635290267
107	0.4623680934
108	0.4618429483
109	0.4615916341
110	0.4610764388
111	0.4607477255
112	0.4603590437
113	0.4600241679
114	0.4595285186
115	0.4589858581
116	0.4583793822
117	0.4579604265
118	0.4576025473
119	0.4563511343
120	0.4558805017
121	0.4555392186
122	0.4546652141
123	0.454264297
124	0.454049158
125	0.4537606736
126	0.4523647272
127	0.4516297282
128	0.4513521385
129	0.4510419424
130	0.450598224
131	0.4501322128
132	0.4498490109
133	0.4495008467
134	0.4492199491
135	0.4472814105
136	0.446843329
137	0.446069755
138	0.4457169415
139	0.445262692
140	0.4449832997
141	0.4446051731
142	0.444236983
143	0.443837398
144	0.4433842673
145	0.4430670519
146	0.4427149519
147	0.4419128041
148	0.4415006171
149	0.4412867247
150	0.4408946033
151	0.4405722341
152	0.4402728796
153	0.4399619111
154	0.4393850163
155	0.4391473611
156	0.4389447007
157	0.4386668796
158	0.4383002005
159	0.437938671
160	0.4376717201
161	0.4373309551
162	0.4370495364
163	0.4367031445
164	0.4361156588
165	0.4357570983
166	0.4356150328
167	0.4339568303
168	0.433667388
169	0.4328434016
170	0.4321650371
171	0.4318768034
172	0.43158614
173	0.4313149786
174	0.4310677776
175	0.430841463
176	0.4304711792
177	0.4301471333
178	0.4299116564
179	0.429565065
180	0.4293374794
181	0.428753306
182	0.4284042536
183	0.4281998601
184	0.427615528
185	0.4273756058
186	0.4270900072
187	0.4267339937
188	0.4265195325
189	0.4262815815
190	0.4256965156
191	0.425398656
192	0.4251213616
193	0.424848572
194	0.4246882798
195	0.4243505354
196	0.4237992902
197	0.4236411891
198	0.4234801483
199	0.4229723657
200	0.4225385263
201	0.4223392661
202	0.4221756751
203	0.4218287483
204	0.4205001778
205	0.420188504
206	0.4198407919
207	0.4195736708
208	0.4193279023
209	0.4191206769
210	0.4188595888
211	0.4182115673
212	0.4179381133
213	0.4174861613
214	0.4172988255
215	0.4167220024
216	0.4160445057
217	0.41570528
218	0.4153629492
219	0.4150564189
220	0.4148573569
221	0.4145657486
222	0.4142384826
223	0.4137266827
224	0.4135489963
225	0.4132293193
226	0.4126686176
227	0.4114985759
228	0.4112643089
229	0.4110366084
230	0.410801507
231	0.4104866229
232	0.4095146112
233	0.4092313895
234	0.4088914599
235	0.4086772159
236	0.4082293151
237	0.4072178731
238	0.4070141333
239	0.4067624066
240	0.4064430352
241	0.4060407913
242	0.4057502052
243	0.4054666797
244	0.4053206609
245	0.4052100717
246	0.404599181
247	0.4042347763
248	0.4040246463
249	0.4036154715
250	0.403364978
251	0.4031212793
252	0.4028081768
253	0.4025512847
254	0.4023247572
255	0.4021679826
256	0.4016860955
257	0.401397393
258	0.401249027
259	0.4010540758
260	0.4007616509
261	0.4004436123
262	0.4002374916
263	0.400107299
264	0.3997796839
265	0.3995315056
266	0.3993682431
267	0.3991776545
268	0.3988680148
269	0.3985889637
270	0.3983618089
271	0.3982209822
272	0.3978708261
273	0.3977783478
274	0.3973266169
275	0.3970494239
276	0.3967627645
277	0.396488782
278	0.3962214583
279	0.3958805122
280	0.3955088935
281	0.3950214389
282	0.3948333734
283	0.3945869787
284	0.3940309736
285	0.3935414594
286	0.3933363826
287	0.3930341681
288	0.3927532591
289	0.3924878841
290	0.3919628532
291	0.3916050012
292	0.3913087215
293	0.3911807992
294	0.3910384332
295	0.3907425205
296	0.3904013292
297	0.3902494748
298	0.3898872247
299	0.3897168359
300	0.3894487119
301	0.3892174876
302	0.3890842559
303	0.3888606386
304	0.3885202194
305	0.3882704512
306	0.3879434378
307	0.387678525
308	0.387376615
309	0.3870665746
310	0.3867248105
311	0.3865830305
312	0.3863696491
313	0.386161854
314	0.3859179159
315	0.3856374393
316	0.3853859829
317	0.385108565
318	0.3847900857
319	0.3845686346
320	0.3844075517
321	0.3839760651
322	0.383669686
323	0.382858215
324	0.3825706876
325	0.3822848469
326	0.3818837226
327	0.3815458565
328	0.3810867298
329	0.3808713956
330	0.3807069146
331	0.3804466794
332	0.3800783042
333	0.3799261685
334	0.3796200954
335	0.3792996114
336	0.3789642997
337	0.3787885258
338	0.3785170839
339	0.3783837759
340	0.3781140295
341	0.3766782593
342	0.3764762436
343	0.3761760116
344	0.3758380007
345	0.3754791736
346	0.3751300023
347	0.3747994661
348	0.3744962228
349	0.3739943478
350	0.3737419584
351	0.3735048732
352	0.3733022217
353	0.3730738086
354	0.3728196233
355	0.3725080801
356	0.3722287382
357	0.3716203846
358	0.3714217944
359	0.371207464
360	0.3710348682
361	0.370690936
362	0.3704826251
363	0.3701804488
364	0.3699799666
365	0.3695578828
366	0.3693791636
367	0.3684180553
368	0.368265074
369	0.3678761192
370	0.3676692576
371	0.3671101999
372	0.365769128
373	0.365483363
374	0.3649512468
375	0.3637213397
376	0.3635047437
377	0.3629163988
378	0.362155482
379	0.361917513
380	0.3616650858
381	0.3612393643
382	0.3609779838
383	0.3607742411
384	0.3604710907
385	0.359912519
386	0.3596367024
387	0.3588786337
388	0.3581672325
389	0.3578740731
390	0.3572605554
391	0.3570768535
392	0.3566539523
393	0.3560558463
394	0.3554577317
395	0.3552318425
396	0.3548555521
397	0.3546405197
398	0.3543530593
399	0.3534874062
400	0.3527423885
401	0.3516637227
402	0.351440387
403	0.350873846
404	0.3504908609
405	0.3492888321
406	0.3491520467
407	0.3486246153
408	0.3482904715
409	0.3478300784
410	0.3475219097
411	0.3473561124
412	0.3470082871
413	0.3464268722
414	0.3461533969
415	0.3458610403
416	0.3456227487
417	0.3454457391
418	0.3452625098
419	0.3447417512
420	0.34446707
421	0.3440527028
422	0.3436245771
423	0.343403795
424	0.3431201026
425	0.3429241004
426	0.3427709209
427	0.3426033164
428	0.3422307193
429	0.3416301711
430	0.3410291402
431	0.3407959225
432	0.3405916044
433	0.3404562766
434	0.3401595079
435	0.3395969622
436	0.3393009852
437	0.3388518192
438	0.3386112945
439	0.3382053627
440	0.3379325409
441	0.3372674124
442	0.3371589984
443	0.3366260016
444	0.3363938923
445	0.3361901193
446	0.3354662224
447	0.3351249025
448	0.3349221443
449	0.3345281651
450	0.3343026873
451	0.3337628414
452	0.3336525292
453	0.3330744101
454	0.3326249417
455	0.3323555562
456	0.3317523716
457	0.3314144394
458	0.3312244423
